zip,city,state,numbers
07601,Hackensack,NJ,2275
07310,Jersey City,NJ,260
07677,Woodcliff Lake,NJ,1
07020,Edgewater,NJ,8
07103,Newark,NJ,543
20005,Washington,DC,9910
20500,Washington,DC,3172
06519,New Haven,CT,133
06608,Bridgeport,CT,44
06902,Stamford,CT,26
06811,Danbury,CT,377
06855,Norwalk,CT,375
35233,Birmingham,AL,97
35209,Birmingham,AL,3005
35405,Tuscaloosa,AL,261
35222,Birmingham,AL,10
98104,Seattle,WA,11369
95205,Stockton,CA,2
78285,Stockton,CA,127
78240,San Antonio,TX,802
90013,Los Angeles,CA,2367
90247,Gardena,CA,2767
75050,Grand Prairie,TX,19760
19106,Philadelphia,PA,6066
19109,Philadelphia,PA,267
19115,Philadelphia,PA,47
19053,Feasterville Trevose,PA,195
19001,Abington,PA,5
19143,Philadelphia,PA,470
18923,Fountainville,PA,3
19057,Levittown,PA,28
44114,Cleveland,OH,8596
44131,Independence,OH,30
44115,Cleveland,OH,26
44124,Cleveland,OH,287
46410,Merrillville,IN,52
46307,Crown Point,IN,23
70802,Baton Rouge,LA,648
70825,Baton Rouge,LA,10
39540,Diberville,MS,60
39563,Moss Point,MS,3
39507,Gulfport,MS,8
39501,Gulfport,MS,7
49633,Fife Lake,MI,3
49688,Tustin,MI,2
49675,Onekama,MI,153
49442,Muskegon,MI,6
49712,Boyne City,MI,322
49684,Traverse City,MI,2950
49431,Ludington,MI,2
49601,Cadillac,MI,330
49740,Harbor Springs,MI,3
49646,Kalkaska,MI,11
49337,Newaygo,MI,1
49307,Big Rapids,MI,4
49635,Frankfort,MI,10
49411,Free Soil,MI,1
48341,Pontiac,MI,148
48069,Pleasant Ridge,MI,6
48076,Southfield,MI,12
48167,Northville,MI,6
48075,Southfield,MI,144
36602,Mobile,AL,748
36609,Mobile,AL,4
28501,Kinston,NC,16
27858,Greenville,NC,97
27537,Henderson,NC,10
27803,Rocky Mount,NC,59
27870,Roanoke Rapids,NC,5
27896,Wilson,NC,56
98418,Tacoma,WA,1055
76707,Waco,TX,34
76504,Temple,TX,2629
35903,Gadsden,AL,2
35816,Huntsville,AL,227
35603,Decatur,AL,1
35805,Huntsville,AL,3
46803,Fort Wayne,IN,611
53147,Lake Geneva,WI,270
53074,Port Washington,WI,207
53095,West Bend,WI,700
53189,Waukesha,WI,885
49001,Kalamazoo,MI,261
49316,Caledonia,MI,2
49093,Three Rivers,MI,79
49120,Niles,MI,1
49017,Battle Creek,MI,397
49022,Benton Harbor,MI,48
49010,Allegan,MI,67
42001,Paducah,KY,23
77002,Houston,TX,12619
77010,Houston,TX,297
77014,Houston,TX,200
20740,College Park,MD,1222
20814,Bethesda,MD,374
20602,Waldorf,MD,150
20815,Chevy Chase,MD,2
20770,Greenbelt,MD,1
19802,Wilmington,DE,121
80212,Denver,CO,8204
33129,Miami,FL,69
33012,Hialeah,FL,3505
33166,Miami,FL,4155
33132,Miami,FL,526
33127,Miami,FL,17
61606,Peoria,IL,174
90403,Santa Monica,CA,464
90222,Compton,CA,2652
90220,Compton,CA,7
90025,Los Angeles,CA,4
90712,Lakewood,CA,39
60654,Chicago,IL,27692
60513,Brookfield,IL,407
48223,Detroit,MI,192
48208,Detroit,MI,424
48120,Dearborn,MI,1
63101,Saint Louis,MO,1
63155,Saint Louis,MO,1982
63108,Saint Louis,MO,34
63124,Saint Louis,MO,215
63074,Saint Ann,MO,3
13021,Auburn,NY,1178
13203,Syracuse,NY,1527
13204,Syracuse,NY,81
14456,Geneva,NY,8
13501,Utica,NY,287
67202,Wichita,KS,29
46202,Indianapolis,IN,182
46205,Indianapolis,IN,104
46260,Indianapolis,IN,26
71103,Shreveport,LA,27
71202,Monroe,LA,310
71108,Shreveport,LA,16
32926,Cocoa,FL,482
90041,Los Angeles,CA,1615
90006,Los Angeles,CA,321
90047,Los Angeles,CA,730
44304,Akron,OH,3998
44703,Canton,OH,600
44483,Warren,OH,219
44506,Youngstown,OH,278
44432,Lisbon,OH,53
44460,Salem,OH,31
44632,Hartville,OH,9
44601,Alliance,OH,141
