area,state,ratecenter,numbers
201202,NJ,HACKENSACK,134
201219,NJ,JERSEYCITY,248
201382,NJ,HACKENSACK,9
201495,NJ,HACKENSACK,2114
201502,NJ,JERSEYCITY,2
201517,NJ,JERSEYCITY,6
201534,NJ,WESTWOOD,1
201545,NJ,CLIFFSIDE,8
201570,NJ,HACKENSACK,13
201607,NJ,HACKENSACK,4
201698,NJ,NEWARK,3
201901,NJ,HACKENSACK,1
201979,NJ,JERSEYCITY,4
202206,DC,WSHNGTNZN1,111
202214,DC,WSHNGTNZN1,3
202259,DC,WSHNGTNZN1,5158
202405,DC,WSHNGTNZN1,4636
202592,DC,WSHNGTNZN1,25
202605,DC,WSHNGTNZN1,8
202801,DC,WSHNGTNZN1,3074
202825,DC,WSHNGTNZN1,10
202837,DC,WSHNGTNZN1,21
202859,DC,WSHNGTNZN1,2
202896,DC,WSHNGTNZN1,21
202917,DC,WSHNGTNZN1,3
202928,DC,WSHNGTNZN1,8
202947,DC,WSHNGTNZN1,2
203201,CT,NEW HAVEN,23
203279,CT,BRIDGEPORT,41
203282,CT,STAMFORD,26
203289,CT,DANBURY,377
203342,CT,BRIDGEPORT,3
203398,CT,NORWALK,7
203477,CT,NEW HAVEN,110
203593,CT,NORWALK,7
203835,CT,NORWALK,72
203839,CT,NORWALK,289
205501,AL,BIRMINGHAM,2
205513,AL,BIRMINGHAM,197
205550,AL,TUSCALOOSA,258
205630,AL,TUSCALOOSA,3
205676,AL,BIRMINGHAM,202
205692,AL,BIRMINGHAM,91
205770,AL,BIRMINGHAM,10
205804,AL,BIRMINGHAM,38
205805,AL,BIRMINGHAM,35
205806,AL,BIRMINGHAM,50
205816,AL,BIRMINGHAM,40
205817,AL,BIRMINGHAM,49
205818,AL,BIRMINGHAM,107
205819,AL,BIRMINGHAM,48
205865,AL,BIRMINGHAM,23
205867,AL,BIRMINGHAM,11
205869,AL,BIRMINGHAM,113
205888,AL,BIRMINGHAM,342
205889,AL,BIRMINGHAM,1362
205897,AL,BIRMINGHAM,2
205906,AL,BIRMINGHAM,2
205954,AL,BIRMINGHAM,388
206314,WA,SEATTLE,6095
206534,WA,SEATTLE,28
206540,WA,SEATTLE,2949
206541,WA,SEATTLE,455
206559,WA,SEATTLE,478
206560,WA,SEATTLE,58
206563,WA,SEATTLE,1
206642,WA,SEATTLE,2
206645,WA,SEATTLE,90
206648,WA,SEATTLE,1
206663,WA,SEATTLE,182
206680,WA,SEATTLE,253
206738,WA,SEATTLE,0
206807,WA,SEATTLE,1
206810,WA,SEATTLE,30
206907,WA,SEATTLE,15
206916,WA,SEATTLE,4
206917,WA,SEATTLE,1
206918,WA,SEATTLE,6
206955,WA,SEATTLE,34
206975,WA,SEATTLE,1
206977,WA,SEATTLE,23
206978,WA,SEATTLE,2
206980,WA,SEATTLE,2
206986,WA,SEATTLE,166
206989,WA,SEATTLE,146
206994,WA,SEATTLE,317
206996,WA,SEATTLE,29
209397,CA,STOCKTON,2
210285,TX,SANANTONIO,7
210513,TX,SANANTONIO,755
210553,TX,SANANTONIO,27
210578,TX,SANANTONIO,1
210594,TX,SANANTONIO,3
210603,TX,SANANTONIO,34
210604,TX,SANANTONIO,23
210613,TX,SANANTONIO,16
210713,TX,SANANTONIO,9
210746,TX,SANANTONIO,11
210747,TX,SANANTONIO,3
210752,TX,SANANTONIO,9
210754,TX,SANANTONIO,8
210755,TX,SANANTONIO,0
210759,TX,SANANTONIO,1
210786,TX,SANANTONIO,1
210813,TX,SANANTONIO,13
210869,TX,SANANTONIO,6
210917,TX,SANANTONIO,2
213203,CA,LSAN DA 01,487
213206,CA,LSAN DA 01,41
213208,CA,CMTN GRDN,2021
213209,CA,LSAN DA 01,1048
213287,CA,LSAN DA 01,38
213303,CA,LSAN DA 01,13
213350,CA,LSAN DA 01,8
213360,CA,LSAN DA 01,4
213470,CA,LSAN DA 01,4
213506,CA,LSAN DA 01,8
213698,CA,LSAN DA 01,1
213701,CA,LSAN DA 01,30
213704,CA,LSAN DA 01,29
213707,CA,LSAN DA 01,2
213717,CA,LSAN DA 01,77
213812,CA,LSAN DA 01,2
213813,CA,LSAN DA 01,6
213919,CA,LSAN DA 01,198
213961,CA,LSAN DA 01,4
213963,CA,LSAN DA 01,3
213968,CA,LSAN DA 01,3
213990,CA,LSAN DA 01,12
213991,CA,LSAN DA 01,1
214246,TX,GRANDPRARI,630
214248,TX,GRANDPRARI,991
214249,TX,GRANDPRARI,2
214322,TX,GRANDPRARI,6
214344,TX,GRANDPRARI,4358
214359,TX,GRANDPRARI,182
214362,TX,GRANDPRARI,111
214401,TX,GRANDPRARI,6
214439,TX,GRANDPRARI,99
214510,TX,GRANDPRARI,545
214512,TX,GRANDPRARI,1122
214588,TX,GRANDPRARI,1495
214595,TX,GRANDPRARI,17
214737,TX,GRANDPRARI,39
214759,TX,GRANDPRARI,755
214781,TX,GRANDPRARI,10
214786,TX,GRANDPRARI,7984
214798,TX,GRANDPRARI,4
214804,TX,GRANDPRARI,2
214805,TX,GRANDPRARI,1
214813,TX,GRANDPRARI,1
214822,TX,GRANDPRARI,842
214825,TX,GRANDPRARI,8
214829,TX,GRANDPRARI,1
214832,TX,GRANDPRARI,1
214834,TX,GRANDPRARI,10
214835,TX,GRANDPRARI,3
214839,TX,GRANDPRARI,1
214847,TX,GRANDPRARI,3
214848,TX,GRANDPRARI,1
214852,TX,GRANDPRARI,2
214877,TX,GRANDPRARI,4
214895,TX,GRANDPRARI,3
214896,TX,GRANDPRARI,2
