fips,nums
34003,2284
34017,260
34013,543
11001,13082
09009,133
09001,822
01073,3112
01125,261
53033,11373
06077,129
48029,802
06037,12999
48113,23942
42101,6850
42017,226
42091,42
39035,8982
18089,75
22033,658
28047,75
28059,3
26079,14
26133,2
26101,153
26121,6
26029,322
26089,2950
26105,3
26165,330
26047,3
26123,1
26107,4
26019,10
26125,316
01097,752
37107,16
37147,97
37181,10
37127,59
37083,5
37195,56
53053,1055
48309,34
48027,2629
01055,2
01089,230
01103,1
18003,611
55127,270
55089,207
55131,700
55133,885
26077,261
26081,620
26149,79
26021,49
26025,397
26005,95
21145,23
48201,18890
24033,1223
24031,376
24017,150
10003,121
08031,8204
12086,8272
17143,174
17031,38108
26163,634
29510,2017
29189,218
36011,1178
36067,1608
36069,8
36065,287
20173,29
18097,312
22017,43
22073,310
12009,482
39153,3998
39151,752
39155,219
39099,278
39029,84
39133,234
01101,267
01069,242
37157,126
37067,8
37151,1697
37001,3
37081,20
22019,116
22055,271
12001,32
12083,177
53067,215
53011,1365
53015,2
53035,153
48355,716
48025,16
48469,433
48249,50
48273,42
12127,174
44007,611
31055,7
13121,721
40109,1927
12095,2180
06085,2900
48245,39
48167,17
24510,5338
24005,4580
24027,5196
24003,20
42003,19645
55079,20881
06075,10748
39147,1155
39063,42
39143,70
47065,10
47013,7
47073,5
47179,23
47029,17
53061,751
51031,5
49045,46
49005,5
49021,10
39093,652
39085,1647
39055,2
05131,1
04013,6628
21111,746
41067,11015
41047,1
22071,4337
22051,3107
35001,2651
35049,1
06001,4030
48453,7168
48491,57
39061,3199
39017,448
36103,2638
36059,5606
26023,11
26065,23
26059,10
26075,791
26091,27
26093,1
36001,2675
36093,808
04019,3868
51770,296
41017,1
41039,83
41029,295
12099,1878
19163,248
42069,270
42079,7
51013,140
40103,3
26099,77
28121,53
28075,20
28035,463
36007,10
36109,398
55025,18
55105,466
34021,225
34005,219
34001,21
42077,170
42045,3050
42029,386
42011,2
27053,7057
39049,5374
47037,496
26067,82
26117,8
06073,1109
17043,8
17089,4
29183,48
06081,55
06029,8
13015,295
32003,1440
51059,1260
37179,85
37097,109
37119,1534
37045,89
37071,68
37025,543
13245,57
13115,6
06097,75
06059,39
36029,4214
42043,7
42071,927
08041,214
42129,392
42125,1375
12103,892
12101,264
34023,11
34029,3
34039,1157
34035,4
26161,302
26115,128
39089,51
39031,37
39045,2
39119,111
51700,49
51710,9
06071,1133
18035,7
18095,24
18109,1
18023,58
18107,36
18103,644
13089,662
13151,32
13231,29
12061,135
12111,39
49035,7010
49011,249
49049,339
45079,1839
45037,94
45075,54
45063,1
45085,134
06111,250
15003,5726
15009,16
15007,4
15001,34
26049,51
26147,5
26087,1
18163,144
12057,4710
42021,75
42013,326
17197,106
17111,9
17201,220
17063,148
17091,117
29095,784
48439,2525
37021,1859
37161,2
37035,92
37023,4
37087,104
48171,3
48013,6
48463,16
48091,75
48465,19
48339,63
45019,252
45041,119
36087,63
36027,36
36071,3
17097,138
12073,212
12033,329
34007,1731
34015,1
34033,3
34011,16
21067,5120
09011,2
12105,1170
45083,787
45045,517
45021,4
45007,16
45059,2
47093,1929
47157,734
48231,94
48349,2
48181,166
12109,27
12031,494
06065,631
37129,2
37165,164
37153,3
20209,19
36119,2099
48141,1170
06067,7274
36061,22090
36047,7269
36081,494
40143,3844
37183,2845
37063,5
37135,1989
37037,205
37191,1131
55139,460
55087,22
55009,73
55039,1
06013,123
47119,30
48471,4848
39023,200
48121,41
12115,63
12011,1838
48215,497
48479,163
48061,612
48085,1
34027,408
34031,314
48041,748
48039,119
48477,5
22103,126
22109,36
22105,202
26111,4
26145,148
26035,2
26129,1
26007,225
26137,36
26057,1
26155,22
